Tag,count
' Executive Studio City View Family ',146
' Deluxe Double or Twin Room with City View ',146
' Nhow Double or Twin Room ',146
' Junior Suite with Spa Access ',145
' Standard Queen Room with Sofa Bed ',145
' Comfort Double or Twin Room 1 2 Adults ',144
' City Room ',144
' Two Connecting Rooms ',143
' Club King Room ',142
' Privilege Room with a double bed upper floors ',142
' Room with Ramblas View ',142
' Standard Double Room with View Terrace ',142
' Souterraine Double or Twin Room ',141
' Double Room with River View ',140
' Souterrain Double Room ',140
' Deluxe Double Room with River View ',138
' Superior Twin Room Barlow Wing ',138
' Deluxe Room with Two Double Beds ',138
' Family Room 2 Adults 1 Child ',137
' King Room Non Smoking ',137
' River View Deluxe ',137
' Economy Single Room ',137
' Twin Deluxe Room ',136
' Superior Queen Suite with Sofa Bed ',136
' Standard Double Room with Two Single Beds ',136
' Executive Triple Room ',135
' One Room Suite with Kitchenette ',135
' Executive Studio Suite ',135
' Special Offer Superior Double Room ',134
' Deluxe One Bedroom Suite ',133
' Standard Double Room with Park View ',131
' Junior Suite 1 2 Adults ',130
' Superior Room with Queen Bed ',129
' Discovery Double Room ',129
' Queen Room Upper Floors ',129
' Single Room Annex ',129
' Premier Twin Room ',128
' Compact Double Room with Private Bathroom ',128
' Apartment ',127
' Superior Room with 1 kingsize bed ',126
' Stayed 12 nights '],125
' King Deluxe Guest Room ',125
' Deluxe Double Room with Terrace ',124
' Classic Double or Twin Room 1 2 Adults ',124
' Duplex Room ',123
' Classic Double or Single Room ',123
' Deluxe Double or Twin Room 2 adults 1 child ',123
' Queen Bed Leisure ',122
' Double Room Free Wi Fi ',121
' Comfort Single Room ',119
' Single Room with Double Bed ',118
' Deluxe Double Room with Spa Bath ',118
' Deluxe Double Room with State Opera View ',118
' Superior Plus Double Room ',118
' Executive Double Room with Whirlpool ',118
' Deluxe Double Room with City View ',117
' Comfort Double or Twin Room Non Smoking ',117
' Superior Room with Queensize Bed and Single Sofa Bed ',116
' Deluxe Queen Room with River View ',115
' Queen Guestroom ',112
' Twin Superior Room ',112
' King Deluxe Room ',112
' Superior Double Bedroom ',112
' King Room with Balcony ',112
' Deluxe Single Room with View ',112
' Special Room ',112
' Double Room Cosy ',111
' Special Offer Double or Twin Room ',110
' Club Double or Twin Room ',109
' Single Guest Room ',109
' Accessible Queen Guest Room ',109
' Twin Room with Spa Bath ',109
' Executive Queen Room ',108
' King Executive Room with Lounge Access ',108
' Triple Family Guestroom ',108
' Eiffel Tower View King Room ',108
' Standard Room for 1 or 2 people with Kitchenette ',108
' Maisonette ',108
' Marina Double Suite ',107
' Mini Room ',107
' Superior Double Room with View ',106
' Quality Single Room ',106
